# ts	v	v_base	v_vis	v_occ	v_lkg	cap_visible	cap_occl	final
4849.189	10.463	8.865	2.725	2.703	2.725	8.865	2.703	8.865
4849.738	10.486	7.702	2.725	2.703	2.725	7.702	2.703	7.702
4850.285	10.566	7.948	2.725	2.703	2.725	7.948	2.703	7.948
4850.833	10.630	8.094	2.725	2.703	2.725	8.094	2.703	8.094
4851.337	10.679	8.655	2.725	2.703	2.725	8.655	2.703	8.655
4851.840	10.737	8.548	2.725	2.703	2.725	8.548	2.703	8.548
4852.383	10.698	10.045	2.725	2.703	2.725	10.045	2.703	10.045
4852.938	10.590	9.710	2.725	2.703	2.725	9.710	2.703	9.710
4853.438	10.643	10.783	2.725	2.703	2.725	10.783	2.703	10.783
4853.988	10.754	9.260	2.725	2.703	2.725	9.260	2.703	9.260
4854.538	10.758	7.764	2.725	2.703	2.725	7.764	2.703	7.764
4855.038	10.606	7.545	2.725	2.703	2.725	7.545	2.703	7.745
4855.587	10.443	6.954	2.725	2.703	2.725	6.954	2.703	7.150
4856.088	10.239	6.414	2.725	2.703	2.725	6.414	2.703	6.414
4856.638	10.077	6.530	2.725	2.703	2.725	6.530	2.703	6.530
4857.138	9.842	6.187	2.725	2.703	2.725	6.187	2.703	6.187
4857.639	9.684	6.014	2.725	2.703	2.725	6.014	2.703	6.014
4858.139	9.514	6.022	2.725	2.703	2.725	6.022	2.703	6.022
4858.688	9.456	6.148	2.725	2.703	2.725	6.148	2.703	6.759
4859.238	9.336	6.281	2.725	2.703	2.725	6.281	2.703	6.281
4859.788	9.179	6.617	2.725	2.703	2.725	6.617	2.703	6.617
4860.338	9.014	6.315	2.725	2.703	2.725	6.315	2.703	6.315
4860.838	8.828	6.216	2.725	2.703	2.725	6.216	2.703	6.216
4861.388	8.364	6.260	2.725	2.703	2.725	6.260	2.703	6.260
4861.941	7.768	6.468	2.725	2.703	2.725	6.468	2.703	6.468
4862.488	7.315	6.469	2.725	2.703	2.725	6.469	2.703	6.469
4862.988	6.855	6.426	2.725	2.703	2.725	6.426	2.703	6.426
4863.538	6.353	5.977	2.725	2.703	2.725	5.977	2.703	5.977
4864.088	5.822	5.708	2.725	2.703	2.725	5.708	2.703	5.708
4864.589	5.346	5.579	2.725	2.703	2.725	5.579	2.703	5.579
4865.134	4.833	5.480	2.725	2.703	2.725	5.480	2.703	5.480
4865.639	4.292	5.797	2.725	2.703	2.725	5.797	2.703	5.797
4866.187	3.383	5.483	2.725	2.703	2.725	5.483	2.703	5.483
4866.688	2.753	4.345	2.725	2.703	2.725	4.345	2.703	4.345
4867.188	2.410	3.109	2.725	2.703	2.725	3.109	2.703	3.176
4867.689	2.440	2.525	2.725	2.703	2.725	2.525	2.703	2.644
4868.189	2.459	2.258	2.725	2.703	2.725	2.258	2.703	2.258
4868.738	2.515	2.201	2.725	2.703	2.725	2.201	2.703	2.240
4869.238	2.471	2.160	2.725	2.703	2.725	2.160	2.703	2.240
4869.787	1.742	2.181	2.725	2.703	2.725	2.181	2.703	2.240
4870.288	1.154	2.667	2.725	2.703	2.725	2.667	2.703	2.667
4870.837	1.052	3.112	2.725	2.703	2.725	3.112	2.703	3.112
4871.337	0.911	3.081	2.725	2.703	2.725	3.081	2.703	3.081
4871.839	0.827	3.243	2.725	2.703	2.725	3.243	2.703	3.243
4872.386	0.942	3.360	2.725	2.703	2.725	3.360	2.703	3.360
4872.939	1.126	3.205	2.725	2.703	2.725	3.205	2.703	3.205
4873.486	1.333	2.831	2.725	2.703	2.725	2.831	2.703	2.831
4873.987	1.295	2.865	2.725	2.703	2.725	2.865	2.703	2.865
4874.538	1.357	3.196	2.725	2.703	2.725	3.196	2.703	3.196
4875.088	1.476	3.534	2.725	2.703	2.725	3.534	2.703	3.534
4875.638	1.694	4.331	2.725	2.703	2.725	4.331	2.703	4.331
4876.193	2.129	5.706	2.725	2.703	2.725	5.706	2.703	5.706
4876.738	2.550	8.013	2.725	2.703	2.725	8.013	2.703	8.013
4877.238	2.973	9.307	2.725	2.703	2.725	9.307	2.703	9.307
4877.739	3.379	12.882	2.725	2.703	2.725	12.882	2.703	12.882
4878.242	3.757	8.055	2.725	2.703	2.725	8.055	2.703	8.055
4878.788	4.174	4.648	2.725	2.703	2.725	4.648	2.703	4.648
4879.288	4.339	4.878	2.725	2.703	2.725	4.878	2.703	4.878
4879.788	4.037	5.101	2.725	2.703	2.725	5.101	2.703	5.101
4880.338	3.529	5.152	2.725	2.703	2.725	5.152	2.703	5.152
4880.838	3.001	3.983	2.725	2.703	2.725	3.983	2.703	4.058
4881.389	2.418	3.140	2.725	2.703	2.725	3.140	2.703	3.189
4881.938	1.732	3.420	2.725	2.703	2.725	3.420	2.703	3.420
4882.488	1.219	4.421	2.725	2.703	2.725	4.421	2.703	4.421
4882.989	0.745	6.247	2.725	2.703	2.725	6.247	2.703	6.247
4883.538	0.368	9.821	2.725	2.703	2.725	9.821	2.703	9.821
4884.089	0.189	27.485	2.725	2.703	2.725	27.485	2.703	27.485
4884.589	0.113	33.333	2.725	2.703	2.725	33.333	2.703	33.333
4885.138	0.153	33.333	2.725	2.703	2.725	33.333	2.703	33.333
4885.638	0.317	33.333	2.725	2.703	2.725	33.333	2.703	33.333
4886.189	0.541	33.075	2.725	2.703	2.725	33.075	2.703	33.075
4886.738	0.550	33.333	2.725	2.703	2.725	33.333	2.703	33.333
4887.288	0.577	18.804	2.725	2.703	2.725	18.804	2.703	18.804
4887.837	0.641	33.333	2.725	2.703	2.725	33.333	2.703	33.333
4888.387	0.377	18.136	2.725	2.703	2.725	18.136	2.703	18.136
4888.887	0.211	16.035	2.725	2.703	2.725	16.035	2.703	16.035
4889.388	0.108	17.321	2.725	2.703	2.725	17.321	2.703	17.321
4889.938	0.179	17.386	2.725	2.703	2.725	17.386	2.703	17.386
4890.487	0.441	13.968	2.725	2.703	2.725	13.968	2.703	13.968
4890.988	0.700	13.134	2.725	2.703	2.725	13.134	2.703	13.134
4891.537	0.715	14.012	2.725	2.703	2.725	14.012	2.703	14.012
4892.038	0.889	15.522	2.725	2.703	2.725	15.522	2.703	15.522
4892.538	0.836	12.029	2.725	2.703	2.725	12.029	2.703	12.029
4893.082	0.867	9.762	2.725	2.703	2.725	9.762	2.703	9.762
4893.588	0.862	12.079	2.725	2.703	2.725	12.079	2.703	12.079
4894.138	0.800	12.180	2.725	2.703	2.725	12.180	2.703	12.180
4894.688	0.767	10.390	2.725	2.703	2.725	10.390	2.703	10.390
4895.238	0.681	14.817	2.725	2.703	2.725	14.817	2.703	14.817
4895.738	0.639	19.286	2.725	2.703	2.725	19.286	2.703	19.286
4896.284	0.747	19.212	2.725	2.703	2.725	19.212	2.703	19.212
4896.787	0.725	14.414	2.725	2.703	2.725	14.414	2.703	14.414
4897.338	0.557	15.436	2.725	2.703	2.725	15.436	2.703	15.436
4897.840	0.533	17.154	2.725	2.703	2.725	17.154	2.703	17.154
4898.388	0.353	18.452	2.725	2.703	2.725	18.452	2.703	18.452
4898.937	0.185	31.254	2.725	2.703	2.725	31.254	2.703	31.254
4899.438	0.058	33.333	2.725	2.703	2.725	33.333	2.703	33.333
4899.998	0.033	33.333	2.725	2.703	2.725	33.333	2.703	33.333
0.000	20.000	22.000	70.000	70.000	70.000	22.000	70.000	24.017
0.000	30.000	32.000	70.000	70.000	70.000	32.000	70.000	32.000
0.000	25.000	30.000	70.000	70.000	70.000	30.000	70.000	30.000
0.000	20.000	22.000	70.000	70.000	70.000	22.000	70.000	22.000
0.550	30.413	32.000	70.000	70.000	70.000	32.000	70.000	32.000
0.550	25.413	30.000	70.000	70.000	70.000	30.000	70.000	30.000
0.550	19.748	15.810	18.367	18.367	18.367	15.810	18.367	17.239
1.050	31.444	32.000	70.000	70.000	70.000	32.000	70.000	32.000
1.050	26.444	30.000	70.000	70.000	70.000	30.000	70.000	30.000
0.550	20.413	22.000	64.077	64.077	64.077	22.000	64.077	22.000
1.550	32.505	32.000	70.000	70.000	70.000	32.000	70.000	32.000
1.050	18.897	15.701	18.367	18.367	18.367	15.701	18.367	17.032
1.550	28.100	30.000	70.000	70.000	70.000	30.000	70.000	30.000
2.050	32.130	32.000	70.000	70.000	70.000	32.000	70.000	32.000
1.050	21.444	22.000	64.077	64.077	64.077	22.000	64.077	22.000
2.050	30.255	30.000	70.000	70.000	70.000	30.000	70.000	30.000
1.550	18.154	15.698	18.367	18.367	18.367	15.698	18.367	16.925
2.600	30.941	32.000	70.000	70.000	70.000	32.000	70.000	32.000
2.600	31.438	30.000	70.000	70.000	70.000	30.000	70.000	30.000
1.550	22.505	22.000	64.077	64.077	64.077	22.000	64.077	22.000
3.150	30.487	32.000	70.000	70.000	70.000	32.000	70.000	32.000
2.050	17.419	15.698	18.367	14.515	18.367	15.698	14.515	16.800
3.150	30.805	30.000	70.000	70.000	70.000	30.000	70.000	30.000
2.050	22.130	22.000	64.077	37.393	64.077	22.000	37.393	22.000
3.700	30.790	32.000	70.000	70.000	70.000	32.000	70.000	32.000
3.700	28.804	30.000	70.000	70.000	70.000	30.000	70.000	30.000
2.600	16.610	15.698	18.367	12.303	18.367	15.698	12.303	16.644
2.600	20.941	22.000	64.077	20.351	64.077	22.000	20.351	22.000
3.150	16.214	15.698	18.367	12.329	18.367	15.698	12.329	16.564
3.150	20.487	22.000	64.077	17.678	64.077	22.000	17.678	22.000
0.000	22.000	24.000	70.000	70.000	70.000	24.000	70.000	24.000
0.000	20.000	25.000	70.000	70.000	70.000	25.000	70.000	25.000
3.700	16.214	15.698	18.367	12.329	18.367	15.698	12.329	16.564
3.700	20.790	22.000	64.077	17.678	64.077	22.000	17.678	22.000
0.550	22.413	24.000	41.481	41.481	41.481	24.000	41.481	25.331
0.550	20.413	25.000	45.309	45.309	45.309	25.000	45.309	25.000
1.050	21.444	25.000	45.309	45.309	45.309	25.000	45.309	25.000
1.050	23.380	19.413	41.481	41.481	41.481	19.413	41.481	21.215
0.000	25.000	30.000	70.000	70.000	70.000	30.000	70.000	17.906
0.000	25.000	30.000	70.000	70.000	70.000	30.000	70.000	30.000
1.550	23.100	25.000	45.309	45.309	45.309	25.000	45.309	25.335
0.550	25.413	30.000	70.000	70.000	70.000	30.000	70.000	30.000
1.550	23.443	18.567	41.481	41.481	41.481	18.567	41.481	20.294
0.550	24.010	30.000	70.000	70.000	70.000	30.000	70.000	15.890
1.050	26.444	30.000	70.000	70.000	70.000	30.000	70.000	30.000
2.050	25.285	25.000	45.309	36.413	45.309	25.000	36.413	25.000
1.550	28.100	30.000	70.000	70.000	70.000	30.000	70.000	30.000
1.050	21.550	30.000	70.000	70.000	70.000	30.000	70.000	16.631
2.600	26.633	25.000	70.000	70.000	70.000	25.000	70.000	25.000
2.050	30.255	30.000	70.000	70.000	70.000	30.000	70.000	30.000
1.550	18.550	30.000	70.000	70.000	70.000	30.000	70.000	17.493
2.600	31.438	30.000	70.000	70.000	70.000	30.000	70.000	30.000
3.150	30.805	30.000	70.000	70.000	70.000	30.000	70.000	30.000
2.050	15.725	30.000	70.000	70.000	70.000	30.000	70.000	15.725
3.700	28.804	30.000	70.000	70.000	70.000	30.000	70.000	30.000
2.600	13.319	30.000	70.000	70.000	70.000	30.000	70.000	13.319
0.000	20.000	25.000	70.000	70.000	70.000	25.000	70.000	25.000
3.150	11.669	30.000	70.000	70.000	70.000	30.000	70.000	11.669
0.550	20.413	25.000	70.000	70.000	70.000	25.000	70.000	25.000
3.700	10.775	30.000	70.000	70.000	70.000	30.000	70.000	10.775
1.050	21.444	25.000	70.000	70.000	70.000	25.000	70.000	25.000
1.550	23.100	25.000	70.000	70.000	70.000	25.000	70.000	25.000
0.000	25.000	30.000	70.000	70.000	70.000	30.000	70.000	30.000
0.000	20.000	22.000	70.000	70.000	70.000	22.000	70.000	24.017
0.000	20.000	22.000	70.000	70.000	70.000	22.000	70.000	22.000
0.550	25.413	30.000	70.000	70.000	70.000	30.000	70.000	30.000
0.550	19.748	15.810	18.367	18.367	18.367	15.810	18.367	17.239
1.050	26.444	30.000	70.000	70.000	70.000	30.000	70.000	30.000
0.550	20.413	22.000	64.077	64.077	64.077	22.000	64.077	22.000
1.550	28.100	30.000	70.000	70.000	70.000	30.000	70.000	30.000
1.050	18.897	15.701	18.367	18.367	18.367	15.701	18.367	17.032
0.000	30.000	32.000	70.000	70.000	70.000	32.000	70.000	32.000
1.050	21.444	22.000	64.077	64.077	64.077	22.000	64.077	22.000
2.050	30.255	30.000	70.000	70.000	70.000	30.000	70.000	30.000
2.600	31.438	30.000	70.000	70.000	70.000	30.000	70.000	30.000
0.550	30.413	32.000	70.000	70.000	70.000	32.000	70.000	32.000
1.550	22.505	22.000	64.077	64.077	64.077	22.000	64.077	22.000
3.150	30.805	30.000	70.000	70.000	70.000	30.000	70.000	30.000
1.050	31.444	32.000	70.000	70.000	70.000	32.000	70.000	32.000
3.700	28.804	30.000	70.000	70.000	70.000	30.000	70.000	30.000
1.550	32.505	32.000	70.000	70.000	70.000	32.000	70.000	32.000
2.050	22.130	22.000	64.077	37.393	64.077	22.000	37.393	22.000
1.550	18.154	15.698	18.367	18.367	18.367	15.698	18.367	16.925
2.050	32.130	32.000	70.000	70.000	70.000	32.000	70.000	32.000
2.600	30.941	32.000	70.000	70.000	70.000	32.000	70.000	32.000
2.600	20.941	22.000	64.077	20.351	64.077	22.000	20.351	22.000
2.050	17.419	15.698	18.367	14.515	18.367	15.698	14.515	16.800
3.150	30.487	32.000	70.000	70.000	70.000	32.000	70.000	32.000
0.000	20.000	25.000	70.000	70.000	70.000	25.000	70.000	25.000
3.150	20.487	22.000	64.077	17.678	64.077	22.000	17.678	22.000
3.700	30.790	32.000	70.000	70.000	70.000	32.000	70.000	32.000
2.600	16.610	15.698	18.367	12.303	18.367	15.698	12.303	16.644
0.550	20.413	25.000	45.309	45.309	45.309	25.000	45.309	25.000
3.150	16.214	15.698	18.367	12.329	18.367	15.698	12.329	16.564
3.700	20.790	22.000	64.077	17.678	64.077	22.000	17.678	22.000
