# flagged-only | window: 2025-09-05_004324UTC -> 2025-09-05_014324UTC | files=16
2025-09-05_004326UTC | 00000085--f247b281ca--66 | [rlog] v=14.2 base=6.2 raw=6.2 final=6.2 | cap=visible vis=6.2 occ=10.8 | v_vis=5.9 v_occ=10.8 conf=0.7 psi=1.1/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004326UTC | 00000085--f247b281ca--66 | [rlog] v=14.4 base=6.2 raw=6.4 final=6.4 | cap=visible vis=6.2 occ=70.0 | v_vis=6.3 v_occ=70.0 conf=0.8 psi=1.0/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004327UTC | 00000085--f247b281ca--66 | [rlog] v=14.6 base=6.1 raw=6.1 final=6.1 | cap=visible vis=6.1 occ=70.0 | v_vis=6.1 v_occ=70.0 conf=0.8 psi=1.1/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004327UTC | 00000085--f247b281ca--66 | [rlog] v=14.7 base=6.1 raw=6.1 final=6.1 | cap=visible vis=6.1 occ=70.0 | v_vis=6.1 v_occ=70.0 conf=0.8 psi=1.1/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004328UTC | 00000085--f247b281ca--66 | [rlog] v=14.9 base=5.8 raw=5.8 final=5.8 | cap=visible vis=5.8 occ=70.0 | v_vis=5.9 v_occ=70.0 conf=0.8 psi=1.2/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004328UTC | 00000085--f247b281ca--66 | [rlog] v=15.3 base=5.6 raw=5.6 final=5.6 | cap=visible vis=5.6 occ=70.0 | v_vis=5.6 v_occ=70.0 conf=0.8 psi=1.3/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004329UTC | 00000085--f247b281ca--66 | [rlog] v=15.6 base=5.4 raw=6.0 final=6.0 | cap=visible vis=5.4 occ=70.0 | v_vis=5.4 v_occ=70.0 conf=0.8 psi=1.5/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004329UTC | 00000085--f247b281ca--66 | [rlog] v=15.9 base=6.1 raw=6.7 final=6.7 | cap=visible vis=6.1 occ=70.0 | v_vis=6.1 v_occ=70.0 conf=0.8 psi=1.2/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004330UTC | 00000085--f247b281ca--66 | [rlog] v=16.2 base=6.3 raw=7.0 final=7.0 | cap=visible vis=6.3 occ=70.0 | v_vis=6.3 v_occ=70.0 conf=0.8 psi=1.1/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004331UTC | 00000085--f247b281ca--66 | [rlog] v=16.5 base=6.2 raw=6.9 final=6.9 | cap=visible vis=6.2 occ=70.0 | v_vis=6.2 v_occ=70.0 conf=0.9 psi=1.2/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004331UTC | 00000085--f247b281ca--66 | [rlog] v=16.9 base=6.1 raw=6.1 final=6.1 | cap=visible vis=6.1 occ=70.0 | v_vis=6.1 v_occ=70.0 conf=0.9 psi=1.2/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004332UTC | 00000085--f247b281ca--66 | [rlog] v=17.2 base=5.9 raw=5.9 final=5.9 | cap=visible vis=5.9 occ=70.0 | v_vis=5.9 v_occ=70.0 conf=0.9 psi=1.4/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004332UTC | 00000085--f247b281ca--66 | [rlog] v=17.5 base=5.7 raw=5.7 final=5.7 | cap=visible vis=5.7 occ=70.0 | v_vis=5.8 v_occ=70.0 conf=0.9 psi=1.5/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004333UTC | 00000085--f247b281ca--66 | [rlog] v=17.9 base=5.6 raw=5.6 final=5.6 | cap=visible vis=5.6 occ=70.0 | v_vis=5.6 v_occ=70.0 conf=0.8 psi=1.6/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004333UTC | 00000085--f247b281ca--66 | [rlog] v=18.5 base=5.9 raw=6.4 final=6.4 | cap=visible vis=5.9 occ=70.0 | v_vis=5.8 v_occ=70.0 conf=0.8 psi=1.5/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004334UTC | 00000085--f247b281ca--66 | [rlog] v=18.9 base=6.8 raw=7.4 final=7.4 | cap=visible vis=6.8 occ=70.0 | v_vis=6.7 v_occ=70.0 conf=0.9 psi=1.2/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004334UTC | 00000085--f247b281ca--66 | [rlog] v=19.2 base=8.3 raw=9.1 final=9.1 | cap=visible vis=8.3 occ=70.0 | v_vis=8.2 v_occ=70.0 conf=0.9 psi=0.8/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004335UTC | 00000085--f247b281ca--66 | [rlog] v=19.5 base=10.6 raw=11.7 final=11.7 | cap=visible vis=10.6 occ=70.0 | v_vis=10.0 v_occ=70.0 conf=0.8 psi=0.5/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004335UTC | 00000085--f247b281ca--66 | [rlog] v=19.7 base=15.0 raw=15.9 final=15.9 | cap=visible vis=15.0 occ=70.0 | v_vis=14.2 v_occ=70.0 conf=0.8 psi=0.3/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
2025-09-05_004336UTC | 00000085--f247b281ca--66 | [rlog] v=20.0 base=22.2 raw=23.2 final=23.2 | cap=visible vis=22.2 occ=70.0 | v_vis=24.5 v_occ=70.0 conf=0.8 psi=0.1/0.4 reason=pretrigger tail=0.9@2549.7 | flags=pretrigger_with_high_conf
