# flagged-only | window: 2025-09-05_004324UTC -> 2025-09-05_014324UTC | files=16
2025-09-05_004446UTC | 00000085--f247b281ca--67 | [rlog] v=25.6 base=8.9 raw=9.7 final=9.7 | cap=visible vis=8.9 occ=70.0 | v_vis=11.6 v_occ=70.0 conf=0.9 psi=0.5/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004447UTC | 00000085--f247b281ca--67 | [rlog] v=25.7 base=6.9 raw=7.6 final=7.6 | cap=visible vis=6.9 occ=70.0 | v_vis=6.8 v_occ=70.0 conf=0.7 psi=1.5/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004447UTC | 00000085--f247b281ca--67 | [rlog] v=26.1 base=7.9 raw=8.7 final=8.7 | cap=visible vis=7.9 occ=70.0 | v_vis=7.2 v_occ=70.0 conf=0.7 psi=1.4/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004448UTC | 00000085--f247b281ca--67 | [rlog] v=26.5 base=8.7 raw=9.5 final=9.5 | cap=visible vis=8.7 occ=70.0 | v_vis=8.6 v_occ=70.0 conf=0.7 psi=1.0/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004448UTC | 00000085--f247b281ca--67 | [rlog] v=26.9 base=6.4 raw=6.5 final=6.5 | cap=visible vis=6.4 occ=70.0 | v_vis=6.4 v_occ=70.0 conf=0.7 psi=1.8/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004449UTC | 00000085--f247b281ca--67 | [rlog] v=27.3 base=5.3 raw=5.3 final=5.3 | cap=visible vis=5.3 occ=70.0 | v_vis=5.2 v_occ=70.0 conf=0.7 psi=2.7/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004449UTC | 00000085--f247b281ca--67 | [rlog] v=27.6 base=5.1 raw=5.2 final=5.2 | cap=visible vis=5.1 occ=70.0 | v_vis=5.1 v_occ=70.0 conf=0.7 psi=2.9/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004450UTC | 00000085--f247b281ca--67 | [rlog] v=27.7 base=4.4 raw=4.5 final=4.5 | cap=visible vis=4.4 occ=70.0 | v_vis=4.5 v_occ=70.0 conf=0.7 psi=3.8/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004452UTC | 00000085--f247b281ca--67 | [rlog] v=27.5 base=5.1 raw=5.1 final=5.1 | cap=occlusion vis=5.1 occ=4.7 | v_vis=4.7 v_occ=4.7 conf=0.7 psi=3.4/0.4 reason=pretrigger tail=0.1@0.0 | flags=double_occl_cap_suspect
2025-09-05_004452UTC | 00000085--f247b281ca--67 | [rlog] v=27.4 base=4.9 raw=5.4 final=5.4 | cap=occlusion vis=4.9 occ=4.7 | v_vis=4.7 v_occ=4.7 conf=0.7 psi=3.4/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004453UTC | 00000085--f247b281ca--67 | [rlog] v=27.1 base=4.9 raw=5.0 final=5.0 | cap=visible vis=4.9 occ=70.0 | v_vis=4.9 v_occ=70.0 conf=0.7 psi=3.1/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
2025-09-05_004453UTC | 00000085--f247b281ca--67 | [rlog] v=26.7 base=4.8 raw=4.8 final=4.8 | cap=visible vis=4.8 occ=70.0 | v_vis=4.8 v_occ=70.0 conf=0.7 psi=3.2/0.4 reason=pretrigger tail=0.1@0.0 | flags=pretrigger_with_high_conf
