# flagged-only | window: 2025-09-05_004324UTC -> 2025-09-05_014324UTC | files=16
2025-09-05_005705UTC | 00000085--f247b281ca--80 | [rlog] v=2.4 base=3.1 raw=3.2 final=3.2 | cap=occlusion vis=3.1 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.9/0.4 reason=fov_exit tail=0.9@1498.1 | flags=double_occl_cap_suspect
2025-09-05_005709UTC | 00000085--f247b281ca--80 | [rlog] v=1.1 base=3.1 raw=3.1 final=3.1 | cap=occlusion vis=3.1 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.4/0.4 reason=fov_exit tail=0.9@1507.4 | flags=double_occl_cap_suspect
2025-09-05_005709UTC | 00000085--f247b281ca--80 | [rlog] v=0.9 base=3.1 raw=3.1 final=3.1 | cap=occlusion vis=3.1 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1508.1 | flags=double_occl_cap_suspect,psi_below_thresh
2025-09-05_005710UTC | 00000085--f247b281ca--80 | [rlog] v=0.8 base=3.2 raw=3.2 final=3.2 | cap=occlusion vis=3.2 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1508.7 | flags=psi_below_thresh
2025-09-05_005710UTC | 00000085--f247b281ca--80 | [rlog] v=0.9 base=3.4 raw=3.4 final=3.4 | cap=occlusion vis=3.4 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1509.0 | flags=psi_below_thresh
2025-09-05_005711UTC | 00000085--f247b281ca--80 | [rlog] v=1.3 base=2.8 raw=2.8 final=2.8 | cap=occlusion vis=2.8 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.5/0.4 reason=fov_exit tail=0.9@1509.7 | flags=double_occl_cap_suspect
2025-09-05_005712UTC | 00000085--f247b281ca--80 | [rlog] v=1.3 base=2.9 raw=2.9 final=2.9 | cap=occlusion vis=2.9 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.5/0.4 reason=fov_exit tail=0.9@1510.4 | flags=double_occl_cap_suspect
2025-09-05_005712UTC | 00000085--f247b281ca--80 | [rlog] v=1.4 base=3.2 raw=3.2 final=3.2 | cap=occlusion vis=3.2 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.5/0.4 reason=fov_exit tail=0.9@1511.1 | flags=double_occl_cap_suspect
2025-09-05_005719UTC | 00000085--f247b281ca--80 | [rlog] v=2.4 base=3.1 raw=3.2 final=3.2 | cap=occlusion vis=3.1 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.9/0.4 reason=fov_exit tail=0.9@1530.0 | flags=double_occl_cap_suspect
2025-09-05_005721UTC | 00000085--f247b281ca--80 | [rlog] v=0.7 base=6.2 raw=6.2 final=6.2 | cap=occlusion vis=6.2 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.3/0.4 reason=fov_exit tail=0.9@1534.7 | flags=psi_below_thresh
2025-09-05_005721UTC | 00000085--f247b281ca--80 | [rlog] v=0.4 base=9.8 raw=9.8 final=9.8 | cap=occlusion vis=9.8 occ=2.7 | v_vis=2.7 v_occ=2.7 conf=0.0 psi=0.1/0.4 reason=fov_exit tail=0.9@1535.6 | flags=psi_below_thresh
