segment	frames	occl_frames	psi_below	double_cap	lowconf_fov_exit_crawl	hwy_crawl_flags	failopen_low_flags
00000085--f247b281ca--60	1200	0	0	0	0	0	0
00000085--f247b281ca--61	1200	0	0	0	0	0	0
00000085--f247b281ca--62	1200	107	0	0	0	0	0
00000085--f247b281ca--63	1200	102	0	0	0	0	0
00000085--f247b281ca--64	1200	114	0	0	0	0	0
00000085--f247b281ca--65	1200	0	0	0	0	0	0
00000085--f247b281ca--66	1200	0	0	0	0	0	0
00000085--f247b281ca--67	600	0	0	0	0	0	0
00000085--f247b281ca--68	600	0	0	0	0	0	0
00000085--f247b281ca--69	600	0	0	0	0	0	0
00000085--f247b281ca--70	600	0	0	0	0	0	0
00000085--f247b281ca--71	600	0	0	0	0	0	0
00000085--f247b281ca--72	600	0	0	0	0	0	0
00000085--f247b281ca--73	600	0	0	0	0	0	0
00000085--f247b281ca--74	600	0	0	0	0	0	0
00000085--f247b281ca--75	600	0	0	0	0	0	0
00000085--f247b281ca--76	600	167	0	0	0	0	0
00000085--f247b281ca--77	600	0	0	0	0	0	0
00000085--f247b281ca--78	600	126	5	0	0	0	0
00000085--f247b281ca--79	600	89	0	0	0	0	0
00000085--f247b281ca--80	600	19	0	0	0	0	0
00000085--f247b281ca--80_nofo	400	0	0	0	0	0	0
