# ts	v	v_base	v_vis	v_occ	v_lkg	cap_visible	cap_occl	final
1194.061	30.675	8.483	70.000	70.000	70.000	8.483	70.000	9.331
1194.110	30.675	6.490	8.483	70.000	8.483	6.490	70.000	7.139
1194.160	30.675	5.723	6.490	70.000	6.490	5.723	70.000	6.295
1194.207	30.648	5.336	5.723	70.000	5.723	5.336	70.000	5.869
1194.259	30.620	5.102	5.336	70.000	5.336	5.102	70.000	5.612
1194.310	30.586	4.948	5.102	70.000	5.102	4.948	70.000	4.948
1194.359	30.561	4.861	4.948	70.000	4.948	4.861	70.000	4.861
1194.409	30.531	4.804	4.861	70.000	4.861	4.804	70.000	4.804
1194.461	30.504	4.774	4.804	70.000	4.804	4.774	70.000	4.774
1194.506	30.481	4.748	4.774	70.000	4.774	4.748	70.000	4.748
1194.560	30.419	4.735	4.748	70.000	4.748	4.735	70.000	5.208
1194.610	30.392	4.707	4.735	70.000	4.735	4.707	70.000	4.707
1194.655	30.367	4.688	4.707	70.000	4.707	4.688	70.000	5.157
1194.709	30.353	4.684	4.688	70.000	4.688	4.684	70.000	4.684
1194.760	30.361	4.673	4.684	70.000	4.684	4.673	70.000	4.673
1194.809	30.364	4.655	4.673	70.000	4.673	4.655	70.000	4.655
1194.859	30.372	4.654	4.655	70.000	4.655	4.654	70.000	4.654
1194.905	30.399	4.662	4.654	70.000	4.654	4.662	70.000	5.129
1194.956	30.402	4.649	4.662	70.000	4.662	4.649	70.000	5.114
1195.006	30.426	4.643	4.649	70.000	4.649	4.643	70.000	5.108
1195.059	30.407	4.650	4.643	70.000	4.643	4.650	70.000	5.115
1195.110	30.416	4.641	4.650	70.000	4.650	4.641	70.000	5.105
1195.159	30.412	4.648	4.641	70.000	4.641	4.648	70.000	5.113
1195.210	30.425	4.658	4.648	70.000	4.648	4.658	70.000	5.123
1195.261	30.416	4.657	4.658	70.000	4.658	4.657	70.000	5.122
1195.305	30.412	4.656	4.657	70.000	4.657	4.656	70.000	5.122
1195.359	30.418	4.642	4.656	70.000	4.656	4.642	70.000	5.106
1195.410	30.424	4.625	4.642	70.000	4.642	4.625	70.000	5.087
1195.459	30.422	4.620	4.625	70.000	4.625	4.620	70.000	5.082
1195.509	30.428	4.605	4.620	70.000	4.620	4.605	70.000	5.066
1195.559	30.437	4.599	4.605	70.000	4.605	4.599	70.000	5.059
1195.609	30.454	4.616	4.599	70.000	4.599	4.616	70.000	5.078
1195.660	30.468	4.626	4.616	70.000	4.616	4.626	70.000	5.088
1195.707	30.464	4.631	4.626	70.000	4.626	4.631	70.000	5.094
1195.759	30.475	4.634	4.631	70.000	4.631	4.634	70.000	5.097
1195.811	30.470	4.651	4.634	70.000	4.634	4.651	70.000	5.116
1195.859	30.473	4.647	4.651	70.000	4.651	4.647	70.000	5.112
1195.906	30.463	4.635	4.647	70.000	4.647	4.635	70.000	5.099
1195.959	30.465	4.605	4.635	70.000	4.635	4.605	70.000	5.065
1196.010	30.487	4.588	4.605	70.000	4.605	4.588	70.000	5.046
1196.060	30.499	4.576	4.588	70.000	4.588	4.576	70.000	5.033
1196.109	30.512	4.558	4.576	70.000	4.576	4.558	70.000	4.558
